cislo_licence,ev_cislo,nazev,psc,obec,ulice,cp,okres,kraj,pocet_zdroju
110101385,2,FVE Malena,67401,Výčapy,Výčapy,81,Třebíč,Vysočina,1
110404414,1,Skládka Životice,74272,Životice u Nového Jičína,Životice u Nového Jičína,194,Nový Jičín,Moravskoslezský,2
110102749,1,MVE - Brantice,79393,Brantice,Brantice,,Bruntál,Moravskoslezský,1
110101949,1,MLADKOV - MVE,56167,Mladkov,Mladkov,177,Ústí nad Orlicí,Pardubický,2
111329345,2,FVE - Atos 2,58401,Ledeč nad Sázavou,Sázavská,,Havlíčkův Brod,Vysočina,1
110101955,2,Malá vodní elektrárna,38101,Zlatá Koruna,Zlatá Koruna,,Český Krumlov,Jihočeský,2
110202209,1,"ASTUR Straškov, a.s.",41184,Straškov-Vodochody,Straškov-Vodochody,103,Litoměřice,Ústecký,1
110203402,1,VĚTRNÁ ELEKTRÁRNA,53821,Mladoňovice,Mladoňovice,,Chrudim,Pardubický,1
110202537,1,MVE - KATEŘINKY,46014,Liberec,Kateřinky,163,Liberec,Liberecký,1
111220365,1,MVE Nové Město nad Metují,54901,Nové Město nad Metují,Pod Vinicemi,1047,Náchod,Královéhradecký,1
110705563,1,Výrobna elektřiny - skládka TKO Michalovice,29301,Mladá Boleslav,Skládka TKO,108,Mladá Boleslav,Středočeský,1
110404157,1,EJPO 3000 Dýšina,33002,Dýšina,Dýšina,,Plzeň-sever,Plzeňský,1
110404181,1,Biocel Paskov a.s.,73921,Paskov,Zahradní,762,Frýdek-Místek,Moravskoslezský,3
110101119,1,MVE SVĚTLOV,78501,Šternberk,Světlov,,Olomouc,Olomoucký,3
110100719,1,MVE Menší Vltavice,38273,Mnichovice,Mnichovice,8,Český Krumlov,Jihočeský,1
110202151,1,MZE,61800,Brno,Bolzanova,19,Brno-město,Jihomoravský,1
110404200,2,Mlýn Černětice,38701,Volyně,Volyně,38,Strakonice,Jihočeský,2
110100922,1,"BÍLÝ MLÝN KEPKA, s.r.o.",33002,Dýšina,Nová Huť,20,Plzeň-sever,Plzeňský,1
110101536,1,MVE Rudolický jez,43401,Most,Rudolický jez,,Most,Ústecký,2
110202334,1,MVE - Pekelný mlýn,76861,Bystřice pod Hostýnem,Přerovská,39/14,Kroměříž,Zlínský,2
110303870,1,MVE LIŠICE - MAJER BOHUMIL,33401,Dolní Lukavice,Dolní Lukavice,31,Plzeň-jih,Plzeňský,1
110504662,1,Větrná elektrárna Bystré u Stárkova,54931,Stárkov,Stárkov,12,Náchod,Královéhradecký,1
110202651,1,MVE KOKORY,75105,Kokory,Kokory,,Přerov,Olomoucký,1
110101946,1,MVE BX1 - SLEZAN - KAMENEC,73802,Frýdek - Místek,Beskydská,,Frýdek-Místek,Moravskoslezský,3
110101946,3,MVE BX3 - Jez BIOCELU PASKOV,73921,Paskov,Nábřežní,,Frýdek-Místek,Moravskoslezský,1
110101483,1,MVE Mladeč,78321,Mladeč,Mladeč,,Olomouc,Olomoucký,5
110101483,2,MVE Sobáčov,78321,Mladeč,Mladeč,85,Olomouc,Olomoucký,1
110101483,3,Sobačov 85,78321,Mladeč,Mladeč,85,Olomouc,Olomoucký,1
110101483,4,mladeč 142,78321,Mladeč,Mladeč,,Olomouc,Olomoucký,1
110101428,1,MVE DOLNÍ LHOTA,34021,Janovice nad Úhlavou,Janovice nad Úhlavou,18,Klatovy,Plzeňský,1
110202687,1,MVE CHYLICE - MLÝN,36401,Útvina,Útvina,179,Karlovy Vary,Karlovarský,2
110101265,1,"BorsodChem MCHZ, s.r.o.",70900,Ostrava,Chemická,2039/1,Ostrava-město,Moravskoslezský,1
110404224,1,Malá vodní elektrárna,34901,Trpísty,Trpísty,7,Tachov,Plzeňský,2
110102839,1,MVE - Borovnice,59242,Borovnice,Borovnice,1,Žďár nad Sázavou,Vysočina,1
110101024,1,MVE Lipová cesta,35801,Kraslice,Lipová cesta,,Sokolov,Karlovarský,2
110303841,1,Malá vodní elektrárna,58252,Věžnice,Věžnice,,Havlíčkův Brod,Vysočina,2
110303841,2,FVE Chalupník I.,58252,Věžnice,Věžnice,26,Havlíčkův Brod,Vysočina,1
110101370,1,MALÁ VODNÍ ELEKTRÁRNA ŠIROKÝ BROD,79084,Mikulovice,Mikulovice,,Jeseník,Olomoucký,3
110101370,3,MALÁ VODNÍ ELEKTRÁRNA VRBNO POD PRADĚDEM,79326,Vrbno pod Pradědem,Vrbno pod Pradědem,,Bruntál,Moravskoslezský,1
110202972,1,BOŘIVOJ BOUZEK,58856,Telč,Rohozenský rybník - mlýn,,Jihlava,Vysočina,2
110504510,2,Teplárna Radotín Brudra,15300,Praha,Praha,,,,1
110203504,1,MVE - ČISTÁ,54344,Černý Důl,Černý Důl,47,Trutnov,Královéhradecký,2
110102858,1,Bohuslav Svárovský - MVE,55101,Šestajovice,Roztoky,1,Náchod,Královéhradecký,1
110203424,1,MVE - MERTA,78816,Sobotín,Sobotín,132,Šumperk,Olomoucký,1
111225011,1,MOTORGAS,74741,Hradec nad Moravicí,Opavská,,Opava,Moravskoslezský,1
110404264,1,"BOCUS, a.s., BPS Letohrad",56151,Letohrad,Letohrad,,Ústí nad Orlicí,Pardubický,1
110404264,2,"BOCUS, a.s.",56151,Letohrad,Letohrad,65,Ústí nad Orlicí,Pardubický,1
110504727,1,Plynová kogenerační jednotka NASAVRKY,53825,Nasavrky,Skládka,,Chrudim,Pardubický,1
110504727,2,Plynová kogenerační jednotka RONOV NAD SÁZAVOU,58222,Přibyslav,Skládka - Ronov nad Sázavou,,Havlíčkův Brod,Vysočina,1
110504727,3,Plynová kogenerační jednotka VRBIČKA,44101,Vroutek,Vrbička,,Louny,Ústecký,1
110100721,1,MVE HUBÁLOV,29411,Loukovec,Loukovec,,Mladá Boleslav,Středočeský,2
110103125,1,MVE - Panenský potok,47125,Velký Valtinov,Velký Valtinov,7,Česká Lípa,Liberecký,1
110100796,1,ELTEP,73801,Frýdek-Místek,Elišky Krásnohorské,149,Frýdek-Místek,Moravskoslezský,1
110102710,1,Kotelna - K3,76321,Slavičín,Malé Pole,,Zlín,Zlínský,3
110102045,2,MVE Husovice,61400,Brno,Bárovo nábřeží,,Brno-město,Jihomoravský,2
110102045,3,MVE Moravský Krumlov,67201,Moravský Krumlov,Pod Hradbami,175,Znojmo,Jihomoravský,1
110103178,1,MVE - Anenská huť,79343,Stará Ves,Potočná,345,Bruntál,Moravskoslezský,1
110100187,1,MVE Ostrava - Vítkovice,70300,Ostrava,Na července - MVE,,Ostrava-město,Moravskoslezský,2
110203554,1,Plynová kotelna Hraničky I,68201,Vyškov,Na Hraničkách,438/13,Vyškov,Jihomoravský,1
110203554,2,Plynová kotelna Palánek,68201,Vyškov,Palánek,393/12,Vyškov,Jihomoravský,1
110203554,3,Plynová kotelna Tyršova,68201,Vyškov,Tyršova,794/40,Vyškov,Jihomoravský,1
110203554,4,Plynová kotelna Sportovní,68201,Vyškov,Sportovní,795/8,Vyškov,Jihomoravský,1
110203554,5,Plynová kotelna Osvobození I,68201,Vyškov,Sídliště Osvobození,769/49,Vyškov,Jihomoravský,1
110203554,6,Plynová kotelna Otakara Jaroše,68201,Vyškov,kpt. Otakara Jaroše,340/4,Vyškov,Jihomoravský,1
110203554,7,Plynová kotelna Víta Nejedlého 770,68201,Vyškov,Víta Nejedlého,770/39,Vyškov,Jihomoravský,1
110203554,8,Plynová kotelna Dukelská,68201,Vyškov,Dukelská,796/28,Vyškov,Jihomoravský,1
110203554,9,Plynová kotelna Hraničky II,68201,Vyškov,Na Hraničkách,438/13,Vyškov,Jihomoravský,2
110203554,10,Plynová kotelna Hraničky III,68201,Vyškov,Na Hraničkách,438/13,Vyškov,Jihomoravský,2
110203554,11,Plynová kotelna Osvobození II,68201,Vyškov,Sídliště Osvobození,769/49,Vyškov,Jihomoravský,2
110805809,1,Kotelna,34101,Horažďovice,Okružní,882,Klatovy,Plzeňský,1
110504725,1,"C.I.E.B. Kahovec, spol. s r.o., oz K-BASS",56112,Brandýs nad Orlicí,Dělnická,53,Ústí nad Orlicí,Pardubický,1
110806015,1,KOTELNA,38101,Přísečná,Přísečná,,Český Krumlov,Jihočeský,2
110504714,1,MVE Klášter Vyšší Brod,38273,Vyšší Brod,Klášter,,Český Krumlov,Jihočeský,2
110203706,1,"CAPELLA, spol. s r.o.",46851,Smržovka,Lidické náměstí,774,Jablonec nad Nisou,Liberecký,1
110100659,1,"ENERGY Ústí nad Labem, a.s.",40003,Ústí nad Labem,Žukovova,100/27,Ústí nad Labem,Ústecký,3
110202754,1,Teplárna CENTROPOL Loučovice,38276,Loučovice,Loučovice,,Český Krumlov,Jihočeský,1
110304063,1,CELIO a.s.,43601,Litvínov,Litvínov,,Most,Ústecký,2
110304063,2,FVE CELIO 1,43601,Litvínov,Litvínov,,Most,Ústecký,1
110304063,3,FVE CELIO 2,43601,Litvínov,Litvínov,,Most,Ústecký,1
110404284,1,Kalikovský mlýn,30100,Plzeň,Radčická,60/40,Plzeň-město,Plzeňský,1
110404129,1,VĚTRNÁ ELEKTRÁRNA,54954,Police nad Metují,Police nad Metují,127,Náchod,Královéhradecký,1
110202991,1,MVE ČRS na jezu PIKU,58401,Ledeč nad Sázavou,náhon jezu PIKU,,Havlíčkův Brod,Vysočina,3
110101770,1,MVE CUPRUM,40723,Františkov nad Ploučnicí,Františkov nad Ploučnicí,125,Děčín,Ústecký,1
112036341,1,FVE hala THÚ SÚ Bohumín,73581,Bohumín,Ad. Mickiewicze,,Karviná,Moravskoslezský,1
110907255,1,Turbogenerátor,68601,Uherské Hradiště,Sokolovská,572,Uherské Hradiště,Zlínský,1
110907255,2,Kogenerační jednotka,68601,Uherské Hradiště,Nad Špitálkami,909,Uherské Hradiště,Zlínský,1
110504710,2,"Praha 4, krč, Vídeňská 800",14000,Praha 4,Vídeňská,800,,,1
110504710,3,"Globus Ostrava, Plesná",72527,Ostrava,Ostrava,344,Ostrava-město,Moravskoslezský,1
110504710,4,FVE,14000,Praha,Vídeňská,1083,,,1
110504710,5,"Globus Ostrava, Plesná",72527,Ostrava,Ostrava,344,Ostrava-město,Moravskoslezský,1
110203656,1,Cukrovar Dobrovice,29441,Dobrovice,Palackého náměstí,1,Mladá Boleslav,Středočeský,3
110203656,2,Cukrovar České Meziříčí,51771,České Meziříčí,Osvobození,,Rychnov nad Kněžnou,Královéhradecký,1
110203656,3,Lihovar Kojetín,75233,Kojetín,Padlých hrdinů,927/865,Přerov,Olomoucký,1
110203656,4,Lihovar Kolín,28002,Kolín,Havlíčkova,,Kolín,Středočeský,1
110911410,1,FVE Přístav Mělník,27601,Mělník,Celní,1144,Mělník,Středočeský,3
110911410,2,FVE Loděnice Mělník,27601,Mělník,Loděnická,1221,Mělník,Středočeský,1
110911410,3,FVE Předboj,25072,Předboj,Předboj,110,Praha-východ,Středočeský,3
110911410,4,FVE -Kolín,28002,Kolín,U Přístavu,628,Kolín,Středočeský,2
110911410,5,FVE RADOTÍN,15900,Praha,Výpadová,157,,,1
110911410,6,"České přístavy a.s., FVE Seč č.e. 184",53807,Seč,Seč,184,Chrudim,Pardubický,1
110911410,7,FVE hala Kovář přístav Mělník,27601,Mělník,Celní,,Mělník,Středočeský,1
110911410,8,"České přístavy a.s., FVE Seč II č.e.184",53807,Seč,Seč,,Chrudim,Pardubický,1
110911410,9,FVE Radotín II.,15900,Praha,Výpadová,157,,,1
110911410,10,FVE Hala č. 9,27601,Mělník,Celní,,Mělník,Středočeský,1
110911410,11,"České přístavy a.s., FVE modrý sklad",27601,Mělník,Loděnická,,Mělník,Středočeský,1
110911410,12,"České přístavy a.s., FVE modelárna",27601,Mělník,Loděnická,,Mělník,Středočeský,1
110911410,13,"České přístavy a.s., FVE budova provozu",27601,Mělník,Celní,,Mělník,Středočeský,1
111118652,1,MVE Kolářův mlýn,25701,Postupice,Postupice,14,Benešov,Středočeský,2
110202543,1,Plavecký stadion Podolí,14700,Praha,Podolská,43/74,,,2
110101465,1,"ČKD TURBO TECHNICS, spol. s r.o.",67902,Rájec-Jestřebí,Oldřicha Blažka,131,Blansko,Jihomoravský,1
110100175,1,"Kotelna ""S""",43513,Meziboří,J. A. Komenského,399,Most,Ústecký,2
110404152,1,"ČKD CHLAZENÍ, s.r.o.",56501,Choceň,Nádražní,635,Ústí nad Orlicí,Pardubický,1
112035977,1,BPS,56151,Letohrad,Letohrad,,Ústí nad Orlicí,Pardubický,1
112035977,2,Tichá Orlice,56151,Letohrad,Letohrad,291,Ústí nad Orlicí,Pardubický,1
110203755,1,MVE - Skalský mlýn Těpeře,46822,Těpeře - Železný Brod,Těpeře - Železný Brod,1,Jablonec nad Nisou,Liberecký,3
110203755,2,MVE Semily - Oleška,51301,Semily - Bořkov,MVE Semily,,Semily,Liberecký,2
110203755,3,FTV - Havlíčková - Alšovice,46821,Pěnčín,Pěnčín,211,Jablonec nad Nisou,Liberecký,1
110100146,2,Teplárna Dvůr Králové nad Labem,54401,Dvůr Králové nad Labem,28. října 196,28,Trutnov,Královéhradecký,2
110100146,3,Elektrárna Hodonín,69523,Hodonín,U Elektrárny,3030/1,Hodonín,Jihomoravský,2
110100146,4,Jaderná elektrárna Dukovany,67556,Dukovany,Dukovany,269,Třebíč,Vysočina,8
110100146,5,Jaderná elektrárna Temelín,37301,Temelín,Temelín,,České Budějovice,Jihočeský,2
110100146,6,Elektrárna Poříčí,54137,Trutnov,Kladská,466,Trutnov,Královéhradecký,3
110100146,10,Elektrárna Prunéřov II,43201,Kadaň,Prunéřov,375,Chomutov,Ústecký,3
110100146,12,Elektrárna Ledvice III,41848,Bílina,Ledvice,,Teplice,Ústecký,1
110100146,15,Elektrárna Tušimice II,43201,Kadaň,Tušimice,9,Chomutov,Ústecký,4
110100146,19,Vodní elektrárna Lipno I,38278,Lipno nad Vltavou,Lipno nad Vltavou,,Český Krumlov,Jihočeský,2
110100146,20,Vodní elektrárna Lipno II,38278,Vyšší Brod,Vyšší Brod,,Český Krumlov,Jihočeský,1
110100146,21,Vodní elektrárna Hněvkovice,37501,Týn nad Vltavou,Týn nad Vltavou,,České Budějovice,Jihočeský,2
110100146,22,Vodní elektrárna Kořensko I,37501,Týn nad Vltavou,Neznašov,,České Budějovice,Jihočeský,2
110100146,23,Vodní elektrárna Kořensko II,37501,Týn nad Vltavou,Neznašov,,České Budějovice,Jihočeský,1
110100146,24,Vodní elektrárna Orlík,26233,Solenice,Solenice,,Příbram,Středočeský,4
110100146,25,Vodní elektrárna Kamýk,26263,Kamýk nad Vltavou,Kamýk nad Vltavou,,Příbram,Středočeský,4
110100146,26,Vodní elektrárna Slapy,25208,Slapy nad Vltavou,Třebenice,,Praha-západ,Středočeský,3
110100146,27,Vodní elektrárna Štěchovice I,25207,Štěchovice,Štěchovice,,Praha-západ,Středočeský,2
110100146,28,Přečerpávací vodní elektrárna Štěchovice II,25207,Štěchovice,Štěchovice,,Praha-západ,Středočeský,1
110100146,29,Vodní elektrárna Vrané,25246,Vrané nad Vltavou,Vrané nad Vltavou,,Praha-západ,Středočeský,2
110100146,30,Přečerpávací vodní elektrárna Dalešice,67577,Kramolín,Kramolín,,Třebíč,Vysočina,4
110100146,31,Vodní elektrárna Mohelno,67577,Kramolín,Mohelno,,Třebíč,Vysočina,2
110100146,32,Přečerpávací vodní elektrárna Dlouhé Stráně I,78812,Loučná nad Desnou,Kouty nad Desnou,,Šumperk,Olomoucký,2
110100146,33,Vodní elektrárna Dlouhé Stráně II,78812,Loučná nad Desnou,Kouty nad Desnou,,Šumperk,Olomoucký,1
110100146,36,Vodní V,43201,Kadaň,Želina,,Chomutov,Ústecký,4
110100146,38,Teplárna Trmice,40004,Trmice,Edisonova,453,Ústí nad Labem,Ústecký,6
110100146,39,Elektrárna Počerady 2,43401,Volevčice,Volevčice,,Most,Ústecký,3
110100146,40,Elektrárna Ledvice IV B6,41848,Bílina,Bílina,,Teplice,Ústecký,1
110100339,1,VODNÍ ELEKTRÁRNA PRÁČOV 1,53824,Svídnice,Svídnice,,Chrudim,Pardubický,1
110100339,2,VODNÍ ELEKTRÁRNA SPÁLOV,51301,Semily,Spálov,,Semily,Liberecký,2
110100339,3,VODNÍ ELEKTRÁRNA PASTVINY 1,56163,Nekoř,Nekoř,,Ústí nad Orlicí,Pardubický,1
110100339,4,VODNÍ ELEKTRÁRNA PŘELOUČ,53501,Přelouč,Hradecká ulice,139,Pardubice,Pardubický,4
110100339,5,VODNÍ ELEKTRÁRNA HRADEC KRÁLOVÉ,50002,Hradec Králové,Křižíkova ulice,233,Hradec Králové,Královéhradecký,3
110100339,8,MVE Obříství,27742,Obříství,Obříství,,Mělník,Středočeský,2
110100339,9,MVE Kníničky,63500,Brno,Přehradní,,Brno-město,Jihomoravský,1
110100339,10,MVE Les Království,54401,Bílá Třemešná,Bílá Třemešná,,Trutnov,Královéhradecký,2
110100339,11,MVE Předměřice,50302,Předměřice nad Labem,Průmyslová,177,Hradec Králové,Královéhradecký,1
110100339,12,MVE Spytihněv,76364,Spytihněv,Spytihněv,,Zlín,Zlínský,2
110100339,14,MVE Pardubice,53002,Pardubice,Labská,233,Pardubice,Pardubický,1
110100339,15,MVE Komín,62400,Brno,Svratecká,,Brno-město,Jihomoravský,2
110100339,16,MVE Vydra,34192,Srní,Čeňkova pila,232,Klatovy,Plzeňský,3
110100339,17,MVE Hracholusky,33033,Úlice,Hracholusky,,Plzeň-sever,Plzeňský,1
110100339,18,MVE Černé Jezero,34004,Železná Ruda,Hojsova Stráž,19,Klatovy,Plzeňský,3
110100339,20,MVE Bukovec,31200,Plzeň,K Papírně,,Plzeň-město,Plzeňský,2
110100339,21,VE Střekov,40001,Ústí nad Labem,Pražská,120,Ústí nad Labem,Ústecký,3
110100339,22,Větrná elektrárna I a II Janov,56955,Janov,Janov,,Svitavy,Pardubický,2
110100339,23,Fotovoltaická elektrárna Hrušovany,67167,Hrušovany nad Jevišovkou,Hrušovany nad Jevišovkou,,Znojmo,Jihomoravský,1
110100339,24,Fotovoltaická elektrárna Žabčice,66463,Žabčice,Žabčice,,Brno-venkov,Jihomoravský,1
110100339,25,Fotovoltaická elektrárna Chýnov,39155,Chýnov,Chýnov,,Tábor,Jihočeský,1
110100339,26,Fotovoltaická elektrárna Čekanice,39002,Tábor,Tábor,,Tábor,Jihočeský,1
110100339,27,Fotovoltaická elektrárna Bežerovice,39165,Sudoměřice u Bechyně,Sudoměřice u Bechyně,,Tábor,Jihočeský,1
110100339,28,Větrná elektrárna Věžnice,58252,Věžnice,Věžnice,,Havlíčkův Brod,Vysočina,2
110100339,29,MVE Mělník,27703,Horní Počaply,Horní Počaply,,Mělník,Středočeský,1
110100339,30,Fotovoltaická elektrárna Buštěhrad,27343,Buštěhrad,5. květn,5,Kladno,Středočeský,1
110100339,32,FVE Vranovská Ves,67151,Vranovská Ves,Vranovská Ves,,Znojmo,Jihomoravský,1
110100339,33,FVE Ralsko,47124,Ralsko,Ralsko,,Česká Lípa,Liberecký,2
110100339,34,FVE Pánov,69501,Hodonín,Pánov,,Hodonín,Jihomoravský,1
110100339,35,FVE Ševětín,37365,Ševětín,Ševětín,,České Budějovice,Jihočeský,1
110100339,36,FVE Přelouč,53501,Přelouč,Hradecká,139,Pardubice,Pardubický,1
110100339,37,FVE Ledvice,41848,Bílina,Bílina,,Teplice,Ústecký,1
110100339,38,FVE Dukovany,67556,Dukovany,Dukovany,,Třebíč,Vysočina,1
110202565,1,MVE - Písečné,37872,Písečné,Písečné,,Jindřichův Hradec,Jihočeský,1
110203403,1,DALIBOR DOKTOR ELEKTRÁRNA BRANDÝS n. Orl.,56112,Brandýs nad Orlicí,Komenského,204,Ústí nad Orlicí,Pardubický,2
110101176,1,MVE PROSEČNÉ,54373,Prosečné,Prosečné,,Trutnov,Královéhradecký,2
110303876,1,MVE - HORNÍ MLÝN,58301,Chotěboř,Horní Sokolovec,,Havlíčkův Brod,Vysočina,2
110303876,2,FVE - HORNÍ KRUPÁ,58001,Havlíčkův Brod,Horní Krupá,5,Havlíčkův Brod,Vysočina,1
110303876,3,FVE - HORNÍ KRUPÁ 2,58001,Horní Krupá,Horní Krupá,5,Havlíčkův Brod,Vysočina,1
